location_id,timestamp,temperature_c,humidity,weather_condition
5,2024-01-12T00:55:08Z,-4.59,28.66,Sunny
1,2024-01-03T21:35:39Z,-1.97,80.94,Rainy
5,2024-01-11T17:30:56Z,24.02,89.92,Snowy
4,2024-01-15T00:21:47Z,31.5,96.56,Rainy
4,2024-01-27T14:27:24Z,4.63,99.81,Sunny
5,2024-01-27T14:33:46Z,23.42,34.31,Sunny
7,2024-01-13T13:11:10Z,26.28,92.51,Rainy
8,2024-01-10T20:59:07Z,9.54,60.96,Rainy
1,2024-01-20T02:39:02Z,33.7,47.78,Rainy
7,2024-01-02T16:53:18Z,3.66,81.51,Rainy
6,2024-01-02T23:33:22Z,30.28,89.38,Snowy
3,2024-01-02T14:59:44Z,25.64,40.09,Sunny
3,2024-01-21T03:33:43Z,9.9,27.96,Rainy
8,2024-01-09T08:08:54Z,17.89,37.96,Snowy
8,2024-01-10T12:48:16Z,12.5,33.22,Rainy
8,2024-01-02T15:00:13Z,35.65,21.78,Sunny
5,2024-01-24T19:00:16Z,13.55,10.12,Snowy
6,2024-01-07T13:29:58Z,27.77,4.44,Cloudy
7,2024-01-18T11:38:13Z,0.4,92.66,Rainy
6,2024-01-29T10:30:51Z,19.8,85.56,Cloudy
5,2024-01-22T15:41:26Z,29.74,6.95,Cloudy
2,2024-01-15T02:06:46Z,21.37,98.19,Cloudy
5,2024-01-21T03:43:26Z,-3.76,90.75,Sunny
6,2024-01-27T13:13:49Z,9.31,98.34,Sunny
1,2024-01-24T18:58:46Z,-10.0,40.03,Rainy
1,2024-01-07T05:04:44Z,8.66,98.24,Rainy
8,2024-01-23T11:17:17Z,-6.71,52.18,Rainy
4,2024-01-17T09:45:14Z,1.59,40.16,Rainy
2,2024-01-29T00:43:58Z,9.45,49.73,Cloudy
3,2024-01-08T17:17:58Z,15.68,48.92,Cloudy
4,2024-01-10T15:55:27Z,-1.93,59.01,Cloudy
2,2024-01-05T12:15:44Z,-0.63,47.36,Cloudy
1,2024-01-01T01:43:55Z,12.49,87.13,Rainy
4,2024-01-20T05:47:48Z,8.55,83.02,Sunny
1,2024-01-11T03:39:00Z,15.6,21.94,Snowy
6,2024-01-10T21:51:25Z,1.44,68.54,Snowy
8,2024-01-20T11:26:20Z,35.82,75.85,Sunny
7,2024-01-25T00:44:03Z,9.52,69.72,Sunny
3,2024-01-18T15:01:19Z,23.53,77.24,Snowy
7,2024-01-12T07:03:46Z,6.8,74.91,Cloudy
4,2024-01-14T14:20:44Z,5.54,16.17,Rainy
3,2024-01-30T12:20:32Z,0.45,12.32,Sunny
7,2024-01-11T15:09:26Z,14.75,45.72,Sunny
2,2024-01-13T06:40:26Z,13.49,45.83,Rainy
3,2024-01-24T22:32:28Z,20.02,8.49,Rainy
3,2024-01-24T00:32:33Z,5.67,17.07,Cloudy
1,2024-01-29T18:05:14Z,29.3,60.8,Sunny
8,2024-01-29T00:54:52Z,33.03,6.71,Sunny
1,2024-01-25T07:06:53Z,-7.05,59.96,Rainy
4,2024-01-25T08:29:15Z,17.94,86.93,Snowy
3,2024-01-05T20:31:42Z,12.79,94.47,Cloudy
7,2024-01-23T12:59:12Z,15.79,7.16,Cloudy
4,2024-01-21T16:32:47Z,13.45,64.68,Rainy
6,2024-01-20T13:23:52Z,29.58,70.55,Sunny
4,2024-01-03T00:57:45Z,-5.19,97.53,Sunny
3,2024-01-06T03:17:48Z,17.44,46.68,Sunny
1,2024-01-15T12:31:26Z,12.88,56.21,Snowy
5,2024-01-06T15:28:38Z,-6.71,37.07,Cloudy
8,2024-01-13T16:23:20Z,17.0,54.9,Sunny
5,2024-01-29T04:29:58Z,-8.92,71.95,Cloudy
1,2024-01-12T13:12:41Z,27.75,56.95,Snowy
8,2024-01-20T08:18:18Z,39.5,52.58,Cloudy
3,2024-01-05T11:13:13Z,-9.59,95.15,Sunny
2,2024-01-08T09:13:41Z,11.7,63.5,Snowy
1,2024-01-25T17:41:31Z,28.02,30.13,Sunny
3,2024-01-21T18:29:43Z,8.47,80.71,Rainy
5,2024-01-09T02:55:44Z,-9.31,23.09,Rainy
2,2024-01-23T17:47:06Z,24.83,65.48,Snowy
7,2024-01-24T06:42:39Z,33.51,0.78,Cloudy
4,2024-01-12T06:00:46Z,24.98,16.86,Rainy
5,2024-01-28T04:41:49Z,-2.91,67.92,Snowy
2,2024-01-20T19:09:31Z,26.9,70.46,Rainy
8,2024-01-08T15:13:53Z,7.18,9.94,Cloudy
8,2024-01-14T00:40:33Z,11.09,19.51,Cloudy
2,2024-01-22T13:04:46Z,35.59,10.97,Rainy
7,2024-01-14T06:59:54Z,38.38,67.75,Rainy
6,2024-01-06T05:09:19Z,38.79,62.5,Cloudy
2,2024-01-23T04:09:24Z,14.86,63.02,Rainy
3,2024-01-05T12:02:53Z,0.06,32.54,Cloudy
6,2024-01-20T22:48:24Z,35.49,48.75,Rainy
6,2024-01-04T13:40:33Z,30.88,50.14,Snowy
4,2024-01-21T05:35:15Z,33.68,41.6,Rainy
3,2024-01-14T16:51:12Z,35.65,82.28,Cloudy
7,2024-01-15T21:46:02Z,16.08,60.37,Sunny
4,2024-01-12T09:07:58Z,23.62,66.4,Snowy
2,2024-01-28T15:13:39Z,-0.29,92.83,Sunny
1,2024-01-27T05:57:44Z,23.58,88.46,Rainy
5,2024-01-13T03:07:03Z,4.31,47.84,Cloudy
1,2024-01-26T12:32:38Z,-9.05,71.78,Rainy
4,2024-01-28T01:51:48Z,-2.01,28.4,Snowy
3,2024-01-02T23:25:23Z,-7.26,46.68,Snowy
7,2024-01-18T05:30:23Z,23.61,90.64,Snowy
8,2024-01-03T02:36:07Z,24.5,51.77,Sunny
1,2024-01-12T18:47:24Z,31.1,47.5,Cloudy
2,2024-01-26T20:03:30Z,38.73,0.34,Rainy
2,2024-01-26T04:40:23Z,9.9,87.49,Rainy
4,2024-01-14T00:32:10Z,12.51,26.01,Rainy
5,2024-01-21T17:43:29Z,16.86,69.08,Sunny
3,2024-01-18T23:30:18Z,4.05,41.41,Snowy
3,2024-01-06T02:36:08Z,16.21,17.41,Snowy
4,2024-01-14T09:33:21Z,12.28,20.05,Snowy
5,2024-01-01T18:35:42Z,10.93,86.67,Snowy
3,2024-01-07T21:03:17Z,25.64,72.59,Rainy
8,2024-01-17T17:38:38Z,8.89,72.47,Sunny
6,2024-01-26T12:24:26Z,3.73,76.61,Rainy
3,2024-01-21T12:59:30Z,14.52,71.17,Snowy
8,2024-01-17T01:37:05Z,-1.94,1.51,Cloudy
8,2024-01-12T07:19:49Z,14.26,20.03,Snowy
3,2024-01-20T06:00:50Z,11.44,6.46,Snowy
7,2024-01-19T04:18:06Z,10.54,16.92,Cloudy
3,2024-01-21T19:54:47Z,39.7,83.3,Snowy
4,2024-01-06T02:00:04Z,11.98,33.46,Sunny
6,2024-01-18T15:13:06Z,-1.04,69.64,Rainy
8,2024-01-06T21:33:45Z,-9.7,49.88,Sunny
3,2024-01-07T16:33:49Z,38.67,40.11,Rainy
1,2024-01-24T01:29:33Z,-2.54,87.92,Cloudy
6,2024-01-02T12:31:58Z,0.13,20.2,Snowy
3,2024-01-16T17:15:27Z,7.96,63.84,Snowy
1,2024-01-15T18:34:06Z,21.84,57.62,Snowy
3,2024-01-05T07:24:49Z,-1.4,24.77,Snowy
8,2024-01-19T09:14:03Z,12.78,44.84,Snowy
1,2024-01-23T22:16:16Z,1.9,80.54,Snowy
4,2024-01-25T02:38:27Z,1.89,66.35,Rainy
6,2024-01-22T05:02:07Z,7.22,9.55,Snowy
7,2024-01-18T02:57:47Z,5.08,25.39,Cloudy
2,2024-01-04T03:31:09Z,18.2,10.88,Snowy
4,2024-01-15T00:52:25Z,13.85,96.07,Rainy
6,2024-01-17T00:59:14Z,-5.4,55.43,Sunny
6,2024-01-18T17:18:46Z,18.63,52.4,Rainy
2,2024-01-17T02:16:25Z,17.62,92.36,Rainy
1,2024-01-02T09:48:28Z,20.69,45.77,Rainy
7,2024-01-28T11:54:00Z,31.95,68.91,Sunny
4,2024-01-13T17:08:33Z,34.22,20.44,Rainy
5,2024-01-26T00:47:05Z,26.94,78.59,Snowy
7,2024-01-05T08:23:57Z,21.13,32.47,Snowy
3,2024-01-09T16:58:43Z,39.85,30.89,Rainy
6,2024-01-06T04:32:03Z,3.49,7.69,Snowy
2,2024-01-22T18:25:12Z,-8.0,94.98,Sunny
1,2024-01-30T20:57:40Z,34.18,19.51,Rainy
8,2024-01-10T21:28:36Z,24.74,95.58,Rainy
3,2024-01-26T20:09:51Z,38.89,27.93,Rainy
3,2024-01-19T06:57:40Z,39.09,7.35,Sunny
8,2024-01-11T08:58:28Z,7.82,59.83,Snowy
7,2024-01-07T14:35:06Z,19.63,18.72,Snowy
7,2024-01-29T16:34:56Z,30.9,48.31,Snowy
3,2024-01-25T12:27:12Z,-3.19,26.47,Sunny
6,2024-01-29T17:14:32Z,19.12,6.19,Sunny
2,2024-01-14T18:35:35Z,29.52,87.59,Snowy
5,2024-01-18T15:51:18Z,11.01,44.01,Cloudy
5,2024-01-27T21:58:10Z,0.71,87.94,Cloudy
4,2024-01-12T11:57:16Z,-6.16,21.61,Snowy
1,2024-01-22T15:46:07Z,4.92,89.86,Snowy
3,2024-01-24T16:08:26Z,23.57,34.2,Cloudy
6,2024-01-10T07:22:54Z,28.56,14.26,Snowy
8,2024-01-16T18:32:39Z,-7.3,39.32,Snowy
5,2024-01-28T12:53:51Z,-5.99,16.15,Cloudy
7,2024-01-11T20:58:35Z,-4.33,35.75,Cloudy
2,2024-01-20T08:43:50Z,4.26,8.11,Cloudy
7,2024-01-11T12:08:25Z,1.06,67.16,Snowy
4,2024-01-21T22:24:32Z,8.03,46.02,Cloudy
8,2024-01-13T21:55:17Z,19.85,20.92,Snowy
7,2024-01-22T01:27:08Z,36.06,45.83,Cloudy
4,2024-01-16T13:03:08Z,14.77,44.56,Snowy
4,2024-01-23T16:35:24Z,20.39,88.38,Rainy
4,2024-01-29T18:40:12Z,35.33,60.52,Cloudy
2,2024-01-07T17:28:47Z,38.58,15.86,Cloudy
5,2024-01-26T20:28:36Z,-2.8,19.04,Snowy
3,2024-01-27T10:14:44Z,5.73,50.52,Sunny
1,2024-01-04T08:07:18Z,6.75,90.31,Cloudy
7,2024-01-03T06:52:36Z,20.81,28.05,Sunny
6,2024-01-05T09:26:49Z,21.91,69.05,Snowy
4,2024-01-16T16:49:09Z,33.99,20.68,Cloudy
8,2024-01-03T19:04:45Z,7.22,34.12,Snowy
1,2024-01-11T07:45:40Z,2.44,25.89,Snowy
8,2024-01-10T05:35:06Z,-2.24,94.34,Snowy
6,2024-01-15T07:36:33Z,22.94,22.66,Rainy
5,2024-01-30T13:05:21Z,19.25,62.78,Rainy
8,2024-01-20T16:51:42Z,11.4,77.3,Snowy
4,2024-01-23T20:30:13Z,29.37,94.0,Snowy
3,2024-01-18T02:42:13Z,26.53,67.3,Snowy
2,2024-01-30T04:30:30Z,-7.23,91.88,Snowy
3,2024-01-07T23:40:26Z,3.49,74.33,Snowy
3,2024-01-21T04:30:29Z,9.26,13.04,Sunny
7,2024-01-08T23:40:19Z,-5.52,33.3,Rainy
5,2024-01-09T02:58:43Z,-7.99,45.64,Cloudy
4,2024-01-19T02:01:34Z,32.81,77.53,Rainy
8,2024-01-27T03:01:30Z,22.04,73.29,Snowy
2,2024-01-24T22:31:36Z,7.87,93.09,Rainy
6,2024-01-09T04:23:50Z,15.4,67.92,Rainy
8,2024-01-24T00:22:23Z,30.6,84.31,Rainy
3,2024-01-01T19:47:34Z,34.16,52.28,Snowy
6,2024-01-27T19:58:00Z,28.92,8.28,Sunny
7,2024-01-03T02:16:54Z,0.11,78.04,Sunny
7,2024-01-20T10:33:57Z,32.61,78.16,Rainy
4,2024-01-21T16:43:01Z,34.0,88.54,Sunny
2,2024-01-07T15:12:59Z,7.34,49.37,Snowy
2,2024-01-07T05:22:45Z,9.46,43.03,Rainy
1,2024-01-29T06:18:45Z,10.41,52.06,Cloudy
8,2024-01-06T16:49:56Z,36.8,81.0,Rainy
2,2024-01-06T21:58:00Z,16.32,16.73,Snowy
3,2024-01-12T23:05:57Z,3.68,28.6,Snowy
1,2024-01-16T01:04:36Z,28.89,72.92,Sunny
4,2024-01-15T09:24:53Z,16.5,95.91,Sunny
7,2024-01-20T00:48:02Z,17.5,51.07,Snowy
3,2024-01-20T01:36:37Z,36.7,1.57,Rainy
8,2024-01-19T14:31:53Z,21.44,94.81,Snowy
5,2024-01-28T19:00:00Z,28.79,71.19,Sunny
3,2024-01-11T02:35:44Z,19.75,50.12,Cloudy
4,2024-01-10T03:45:11Z,10.11,87.03,Sunny
7,2024-01-19T13:45:19Z,29.87,59.11,Cloudy
1,2024-01-14T02:33:58Z,32.09,26.02,Sunny
2,2024-01-07T07:56:59Z,12.93,98.62,Snowy
8,2024-01-02T00:16:48Z,28.17,96.29,Cloudy
1,2024-01-02T02:23:09Z,23.07,29.08,Snowy
8,2024-01-27T07:44:04Z,-9.73,53.75,Sunny
5,2024-01-04T11:35:21Z,-5.92,93.37,Cloudy
3,2024-01-29T00:13:23Z,21.91,23.99,Rainy
2,2024-01-08T20:14:33Z,19.57,94.17,Sunny
5,2024-01-17T04:25:44Z,18.43,10.34,Cloudy
8,2024-01-25T10:14:47Z,-7.7,62.98,Rainy
6,2024-01-15T17:29:24Z,23.82,85.31,Rainy
8,2024-01-24T21:23:33Z,37.9,1.08,Sunny
8,2024-01-10T06:22:01Z,17.35,86.36,Sunny
2,2024-01-12T01:43:46Z,12.37,67.62,Rainy
2,2024-01-05T04:23:43Z,-5.92,69.78,Snowy
6,2024-01-14T11:05:37Z,33.89,73.19,Snowy
8,2024-01-17T06:52:40Z,17.18,99.58,Rainy
4,2024-01-22T16:36:55Z,36.05,87.89,Cloudy
8,2024-01-06T02:09:26Z,20.53,33.99,Rainy
7,2024-01-19T13:17:35Z,3.0,14.52,Rainy
5,2024-01-05T22:07:37Z,37.83,67.39,Cloudy
5,2024-01-04T20:21:27Z,16.25,61.75,Sunny
3,2024-01-06T16:49:32Z,6.99,85.79,Cloudy
8,2024-01-25T12:06:41Z,-9.74,10.59,Cloudy
6,2024-01-12T11:49:45Z,1.44,35.78,Snowy
1,2024-01-22T04:03:49Z,1.86,23.06,Sunny
8,2024-01-21T18:12:13Z,18.51,57.45,Snowy
2,2024-01-23T09:25:11Z,12.69,14.61,Snowy
6,2024-01-26T10:19:29Z,1.87,16.08,Rainy
2,2024-01-09T18:55:21Z,-0.18,61.12,Sunny
7,2024-01-01T02:20:30Z,7.46,4.53,Sunny
4,2024-01-18T22:54:22Z,34.72,14.93,Snowy
5,2024-01-18T09:00:43Z,28.61,39.17,Cloudy
5,2024-01-14T06:28:34Z,5.46,62.17,Sunny
4,2024-01-05T20:14:48Z,34.04,60.7,Sunny
1,2024-01-18T04:05:49Z,7.77,96.91,Snowy
7,2024-01-21T17:19:30Z,12.82,87.49,Sunny
5,2024-01-11T16:48:11Z,4.28,1.26,Snowy
6,2024-01-05T18:46:00Z,5.39,9.57,Cloudy
5,2024-01-17T09:55:17Z,8.08,59.53,Snowy
8,2024-01-30T21:13:30Z,3.69,96.76,Sunny
8,2024-01-05T16:41:22Z,14.93,81.84,Cloudy
3,2024-01-20T11:00:08Z,-7.1,30.05,Rainy
7,2024-01-30T20:51:38Z,-2.63,20.55,Snowy
2,2024-01-20T06:26:16Z,-5.68,60.84,Sunny
3,2024-01-23T04:27:41Z,12.03,57.23,Cloudy
7,2024-01-30T22:17:19Z,12.96,51.47,Sunny
3,2024-01-24T01:47:41Z,33.69,96.69,Sunny
7,2024-01-03T00:05:17Z,17.51,85.32,Sunny
7,2024-01-19T09:40:48Z,-7.04,66.76,Snowy
4,2024-01-14T14:07:32Z,25.38,84.36,Rainy
8,2024-01-13T14:21:01Z,-1.5,22.23,Sunny
4,2024-01-20T20:05:27Z,38.21,83.82,Snowy
8,2024-01-23T12:26:35Z,6.82,46.59,Sunny
2,2024-01-14T10:14:01Z,1.47,26.83,Sunny
4,2024-01-25T08:47:41Z,-9.68,2.54,Snowy
5,2024-01-10T22:01:10Z,12.38,74.74,Sunny
6,2024-01-18T14:17:17Z,-4.8,96.68,Cloudy
7,2024-01-04T07:25:30Z,-3.11,42.57,Snowy
7,2024-01-29T19:12:15Z,-4.95,93.58,Rainy
3,2024-01-22T00:15:45Z,12.45,19.94,Cloudy
3,2024-01-03T07:37:46Z,39.4,71.03,Snowy
6,2024-01-19T20:06:45Z,20.6,9.96,Sunny
2,2024-01-06T13:29:18Z,23.56,16.96,Rainy
1,2024-01-09T08:54:23Z,25.5,31.81,Snowy
2,2024-01-03T06:25:27Z,28.48,0.83,Cloudy
1,2024-01-17T04:29:11Z,2.43,80.27,Rainy
6,2024-01-21T22:45:06Z,29.08,71.22,Cloudy
7,2024-01-12T01:52:33Z,37.85,42.59,Rainy
6,2024-01-19T05:49:24Z,26.97,60.81,Cloudy
1,2024-01-27T13:02:52Z,-2.32,89.96,Rainy
7,2024-01-01T03:05:03Z,8.19,19.4,Cloudy
2,2024-01-02T16:57:08Z,39.34,41.72,Snowy
1,2024-01-01T20:09:14Z,7.86,22.5,Sunny
6,2024-01-01T23:11:25Z,22.87,60.32,Sunny
1,2024-01-15T13:40:43Z,30.42,58.91,Sunny
3,2024-01-29T11:03:50Z,17.67,43.66,Snowy
7,2024-01-30T10:36:05Z,6.22,94.84,Rainy
6,2024-01-27T18:56:12Z,-2.37,31.51,Snowy
1,2024-01-23T00:56:21Z,35.05,73.0,Cloudy
7,2024-01-03T22:07:07Z,16.38,93.26,Rainy
2,2024-01-03T15:57:15Z,16.79,71.09,Cloudy
3,2024-01-27T09:20:12Z,26.12,69.79,Rainy
1,2024-01-22T20:37:22Z,32.27,70.53,Rainy
3,2024-01-26T00:47:49Z,8.81,9.35,Sunny
4,2024-01-26T15:00:08Z,33.14,12.96,Cloudy
